date,product,region,revenue,units_sold,cost
2024-01-01,Laptop,North,1200.00,3,800.00
2024-01-01,Phone,South,450.00,5,200.00
2024-01-01,Tablet,East,300.00,4,150.00
2024-02-01,Laptop,East,2400.00,6,1600.00
2024-02-01,Phone,North,900.00,10,400.00
2024-02-01,Tablet,West,600.00,8,300.00
2024-03-01,Laptop,South,3600.00,9,2400.00
2024-03-01,Phone,West,1350.00,15,600.00
2024-03-01,Tablet,North,900.00,12,450.00
2024-04-01,Laptop,West,4800.00,12,3200.00
2024-04-01,Phone,East,1800.00,20,800.00
2024-04-01,Tablet,South,1200.00,16,600.00
2024-05-01,Laptop,North,6000.00,15,4000.00
2024-05-01,Phone,South,2250.00,25,1000.00
2024-05-01,Tablet,West,1500.00,20,750.00
2024-06-01,Laptop,East,7200.00,18,4800.00
2024-06-01,Phone,North,2700.00,30,1200.00
2024-06-01,Tablet,South,1800.00,24,900.00
